"Subject" "List" "Date" "Time" "Run" "Trial" "condition" "delaycondition" "Target" "WordPresentationOnset" "MathRespOnset" "RecallwordOnset" "Recallword.ACC" "finalrecall" "finalrecognition" "syllables" "living" "PC1" "PC2" "PC1fac" "PC2fac" "MDSF1" "MDSF2" "MDSF3"
109 "WMLOP_List3" "06/04/2012" "1:28:33PM" 2 25 "shallow" "rehearse" "grenade" 12000 23300 25300 1 0 0 2 FALSE 0.474522478429093 -0.57144668585121 "high" "low" 0.319180456779515 -0.289843462384781 -0.15431050806862
109 "WMLOP_List3" "06/04/2012" "1:28:33PM" 2 26 "deep" "rehearse" "pellet" 35390 46690 48690 1 0 1 2 FALSE -0.157813989374586 0.423870260257227 "low" "high" 0.527798690780527 -0.189732313787759 0.10503697296407
109 "WMLOP_List3" "06/04/2012" "1:28:33PM" 2 27 "shallow" "rehearse" "cigarette" 58780 70080 72080 1 0 1 3 FALSE 2.32547745665272 -1.82199223670767 "high" "low" -0.173771809273677 0.716213598181651 0.182938138560817
109 "WMLOP_List3" "06/04/2012" "1:28:33PM" 2 28 "shallow" "easymathtrialproc" "beer" 83170 94470 96470 1 0 1 1 FALSE -2.63461594403864 2.15369226952138 "low" "high" -0.0950621216513971 0.750565624627484 0.0936500368831852
109 "WMLOP_List3" "06/04/2012" "1:28:33PM" 2 29 "deep" "hardmathtrialproc" "coal" 106560 117860 119860 1 1 1 1 FALSE -2.51889652170306 0.999526464716128 "low" "high" 0.164440063939898 0.484769069346087 0.0231599822198856
109 "WMLOP_List3" "06/04/2012" "1:28:33PM" 2 30 "shallow" "easymathtrialproc" "dollar" 131901 143201 145201 1 0 1 2 FALSE -0.74957663047834 -0.687865875471702 "low" "low" 0.486469640157755 0.185841862215068 0.695307252610817
109 "WMLOP_List3" "06/04/2012" "1:28:33PM" 2 31 "shallow" "hardmathtrialproc" "cafeteria" 158291 169591 171591 1 0 1 5 FALSE 4.08639749380072 -0.108319191462025 "high" "low" 0.314941589209053 -0.0434619445662231 -0.363916458289648
109 "WMLOP_List3" "06/04/2012" "1:28:33PM" 2 32 "shallow" "hardmathtrialproc" "muffin" 184649 195949 197949 1 0 1 2 FALSE -0.15004581512576 0.466590031811028 "low" "high" -0.00984190623738472 0.847763927746137 0.122467788872597
109 "WMLOP_List3" "06/04/2012" "1:28:33PM" 2 33 "shallow" "easymathtrialproc" "turtle" 210006 221306 223306 1 1 1 2 TRUE -0.932176420421437 -0.90415667703772 "low" "low" -0.0954566439762978 -0.296639394303429 -0.0161778035071306
109 "WMLOP_List3" "06/04/2012" "1:28:33PM" 2 34 "deep" "easymathtrialproc" "cottage" 234396 245696 247696 1 0 1 2 FALSE 0.10619001476803 -0.707133094696278 "high" "low" 0.290205199519779 -0.0298791540025574 -0.385523839162711
109 "WMLOP_List3" "06/04/2012" "1:28:33PM" 2 35 "shallow" "easymathtrialproc" "traffic" 256786 268086 270086 1 0 1 2 FALSE 0.823555089635271 1.96935455731055 "high" "high" 0.336318201593406 0.337916754354277 0.522945219324692
109 "WMLOP_List3" "06/04/2012" "1:28:33PM" 2 36 "deep" "rehearse" "cymbal" 283177 294477 296477 1 0 1 2 FALSE 0.590849923137077 3.74059624911722 "high" "high" 0.426352121052058 -0.271442066285793 -0.192881549528559
109 "WMLOP_List3" "06/04/2012" "1:28:33PM" 2 37 "deep" "hardmathtrialproc" "vehicle" 306566 317866 319866 0 0 1 3 FALSE 0.512034016382405 1.0539359675656 "high" "high" 0.209318559063287 0.124745635309672 -0.0206505486467855
109 "WMLOP_List3" "06/04/2012" "1:28:33PM" 2 38 "shallow" "easymathtrialproc" "queen" 329906 341206 343206 1 1 1 1 TRUE -1.51122657699225 0.768743171637987 "low" "high" -0.115923176342806 -0.0489577349175379 0.0183863303830774
109 "WMLOP_List3" "06/04/2012" "1:28:33PM" 2 39 "shallow" "easymathtrialproc" "broom" 352296 363596 365596 1 0 1 1 FALSE -1.96576305813243 -1.04834982798625 "low" "low" 0.0845734759396855 -0.244360564192127 -0.116577313415534
109 "WMLOP_List3" "06/04/2012" "1:28:33PM" 2 40 "deep" "hardmathtrialproc" "plywood" 376686 387986 389986 1 0 1 2 FALSE 0.493711408882817 -0.513102996815517 "high" "low" 0.245669460257834 -0.0929017239668949 -0.283264987452791
109 "WMLOP_List3" "06/04/2012" "1:28:33PM" 2 41 "shallow" "rehearse" "racket" 402027 413327 415327 1 0 1 2 FALSE 0.172080389584531 3.00611456332471 "high" "high" 0.320180179971061 -0.154002936285681 0.0922157870898993
109 "WMLOP_List3" "06/04/2012" "1:28:33PM" 2 42 "deep" "rehearse" "gorilla" 424416 435716 437716 1 1 1 3 TRUE 1.12077994236047 -1.99556167496636 "high" "low" -0.562495445071927 -0.212368555446595 0.34640447388515
109 "WMLOP_List3" "06/04/2012" "1:28:33PM" 2 43 "deep" "hardmathtrialproc" "student" 448807 460107 462107 1 1 1 2 TRUE 2.23138174135174 4.46146891547845 "high" "high" -0.166134599244416 0.0919593837319714 -0.137546327298859
109 "WMLOP_List3" "06/04/2012" "1:28:33PM" 2 44 "deep" "hardmathtrialproc" "operator" 471163 482463 484463 1 1 1 4 TRUE 3.06328225584153 0.671752166813172 "high" "high" -0.0449751685062422 0.207876269822502 0.0595201319046094
109 "WMLOP_List3" "06/04/2012" "1:28:33PM" 2 45 "deep" "easymathtrialproc" "lamp" 497504 508804 510804 1 0 0 1 FALSE -2.28407149337641 0.362285574666863 "low" "high" 0.306628584888661 -0.290612266006525 -0.184727184646675
109 "WMLOP_List3" "06/04/2012" "1:28:33PM" 2 46 "shallow" "hardmathtrialproc" "mule" 523911 535211 537211 1 1 1 1 TRUE -2.01557200833961 1.0193201655517 "low" "high" -0.0419180384953339 -0.300778286924636 0.0449657351865843
109 "WMLOP_List3" "06/04/2012" "1:28:33PM" 2 47 "deep" "rehearse" "butterfly" 549268 560568 562568 1 1 1 3 TRUE 2.2663142212514 -2.46180894485041 "high" "low" -0.362676444308839 -0.139776967259783 -0.232400857134996
109 "WMLOP_List3" "06/04/2012" "1:28:33PM" 2 48 "deep" "rehearse" "swan" 574676 585976 587976 1 0 0 1 TRUE -2.15492297709181 0.229014985445551 "low" "low" -0.295965434967852 -0.264737331623524 0.0780134275852458
109 "WMLOP_List3" "06/04/2012" "1:28:33PM" 3 49 "shallow" "easymathtrialproc" "painter" 12000 23300 25300 1 0 0 2 TRUE 0.512727112085961 2.36894840663108 "high" "high" -0.0342284687628442 -0.093767428879044 -0.053811113926841
109 "WMLOP_List3" "06/04/2012" "1:28:33PM" 3 50 "deep" "rehearse" "sheep" 35389 46689 48689 1 0 1 1 TRUE -2.29390839245602 -0.222394934430605 "low" "low" -0.226622204422949 0.0101923365821303 0.0328937183416249
109 "WMLOP_List3" "06/04/2012" "1:28:33PM" 3 51 "deep" "hardmathtrialproc" "dorm" 57779 69079 71079 1 0 1 1 FALSE 0.0267649283275443 0.249202424863816 "high" "low" 0.266252225094441 -0.0389464625752617 -0.282353646732151
109 "WMLOP_List3" "06/04/2012" "1:28:33PM" 3 52 "deep" "hardmathtrialproc" "village" 81119 92419 94419 1 1 1 2 FALSE 0.698965019174593 3.47683741089683 "high" "high" 0.511985780995176 0.344448652159006 0.136129805974412
109 "WMLOP_List3" "06/04/2012" "1:28:33PM" 3 53 "shallow" "rehearse" "dolphin" 107460 118760 120760 1 0 1 2 TRUE 0.523962718532077 -0.308655869233194 "high" "low" -0.513851203108396 -0.273526741947641 0.373255215057874
109 "WMLOP_List3" "06/04/2012" "1:28:33PM" 3 54 "deep" "hardmathtrialproc" "musician" 132850 144150 146150 1 1 1 3 TRUE 2.76796336551585 1.14109264455951 "high" "high" -0.243464047621862 0.166985568194099 -0.127042815767704
109 "WMLOP_List3" "06/04/2012" "1:28:33PM" 3 55 "shallow" "easymathtrialproc" "camera" 158191 169491 171491 1 1 1 3 FALSE 0.89477489516046 0.335077744854538 "high" "high" 0.375234181085016 -0.196452283129581 -0.150196417577642
109 "WMLOP_List3" "06/04/2012" "1:28:33PM" 3 56 "deep" "easymathtrialproc" "detergent" 182581 193881 195881 1 0 1 3 FALSE 2.86814460042751 -0.330266738290652 "high" "low" -0.0440873050727441 0.634675975083675 -0.0339031046370016
109 "WMLOP_List3" "06/04/2012" "1:28:33PM" 3 57 "deep" "easymathtrialproc" "miner" 207972 219272 221272 1 0 1 2 TRUE -0.782804826086014 1.25944376733478 "low" "high" -0.310773858360178 0.206050947992659 -0.323122558689934
109 "WMLOP_List3" "06/04/2012" "1:28:33PM" 3 58 "shallow" "rehearse" "elephant" 234362 245662 247662 1 0 1 3 TRUE 1.73473156603318 -2.16955656481355 "high" "low" -0.337530502323849 -0.211217524426857 0.27115236356386
109 "WMLOP_List3" "06/04/2012" "1:28:33PM" 3 59 "deep" "rehearse" "slingshot" 256752 268052 270052 1 0 1 2 FALSE 0.026971541078196 0.249615831374113 "high" "high" 0.21992327927046 -0.109710741993353 -0.167187050608744
109 "WMLOP_List3" "06/04/2012" "1:28:33PM" 3 60 "deep" "easymathtrialproc" "moose" 281142 292442 294442 0 0 1 1 TRUE -2.40745697159377 -1.11325090406228 "low" "low" -0.626652688067261 -0.165028391788089 0.242856504585906
109 "WMLOP_List3" "06/04/2012" "1:28:33PM" 3 61 "shallow" "rehearse" "porcupine" 307533 318833 320833 1 0 1 3 TRUE 2.89267971870124 -0.0573881436335323 "high" "low" -0.445927096782193 -0.239606879083311 0.112839050618554
109 "WMLOP_List3" "06/04/2012" "1:28:33PM" 3 62 "shallow" "easymathtrialproc" "sailor" 329923 341223 343223 1 0 1 2 TRUE -0.623393468244113 -0.164195204389269 "low" "low" -0.0441554965035699 -0.00142550717912881 -0.179425186930319
109 "WMLOP_List3" "06/04/2012" "1:28:33PM" 3 63 "shallow" "hardmathtrialproc" "vitamin" 354313 365613 367613 1 0 1 3 FALSE 1.78685698728226 0.230765313642146 "high" "low" 0.119813978999802 0.722687265901898 -0.0158504528423224
109 "WMLOP_List3" "06/04/2012" "1:28:33PM" 3 64 "deep" "rehearse" "cage" 380654 391954 393954 1 0 1 1 FALSE -2.5202843738657 0.460062046515877 "low" "high" 0.113577814598693 -0.0631974166968867 -0.0822139086550946
109 "WMLOP_List3" "06/04/2012" "1:28:33PM" 3 65 "shallow" "hardmathtrialproc" "falcon" 403043 414343 416343 0 0 1 2 TRUE 0.173210936330564 -0.0175815579102314 "high" "low" -0.351377781938835 -0.35882725253938 0.0673067107340968
109 "WMLOP_List3" "06/04/2012" "1:28:33PM" 3 66 "shallow" "hardmathtrialproc" "bedroom" 425383 436683 438683 1 0 1 2 FALSE 0.403909984549522 -1.10896391366947 "high" "low" 0.254910433428933 -0.0858321487315328 -0.406399592084067
109 "WMLOP_List3" "06/04/2012" "1:28:33PM" 3 67 "shallow" "rehearse" "author" 451740 463040 465040 1 0 1 2 TRUE 0.165176534340164 7.80459697092066 "high" "high" -0.156433671570098 0.113040141117769 -0.0528652027278884
109 "WMLOP_List3" "06/04/2012" "1:28:33PM" 3 68 "shallow" "hardmathtrialproc" "ostrich" 476147 487447 489447 0 0 0 2 TRUE 0.887938968330651 0.304403710483896 "high" "high" -0.166064900059511 -0.00430535648371215 0.0153916141868547
109 "WMLOP_List3" "06/04/2012" "1:28:33PM" 3 69 "deep" "hardmathtrialproc" "cowboy" 501488 512788 514788 1 0 1 2 TRUE -0.486970187680243 0.732486864916969 "low" "high" -0.168892341512432 0.129515623277872 -0.125957956980037
