"run" "onset" "image" "lead_up" "rep_num" "fix_num" "response" "rt" "null" "face_gen" "bad" "dfixnum" "mfixnum" "fixdiff12" "fixdiff23" "fixdiff34" "fixdiff14" "rslope" "nrslope" "fixnplus1" "fixnminus1"
1 318 "M104.jpg" 0 3 9 1 1.94 0 "male" 0 -0.1 10 0 0 0 0 0 0 1 -1
1 324 "F104.jpg" 0 3 10 2 1.7 0 "female" 0 -0.0930232558139535 10.75 0 0 0 0 0 0 1 -1
1 330 "M105.jpg" 0 2 13 1 2.09 0 "male" 0 0 12 0 0 0 0 0 0 -3 0
1 336 "M106.jpg" 0 1 13 2 1.04 0 "male" 0 0 10 0 0 0 0 0 0 -6 NA
1 342 "null.jpg" 0 -1 6 3 0.88 1 "n/a" 0 0 0 0 0 0 0 0 0 NA NA
1 348 "F105.jpg" 0 2 11 2 0.95 0 "female" 0 -0.1875 10.6666666666667 0 0 0 0 0 0 -3 -2
1 354 "F106.jpg" 0 1 12 2 0.99 0 "female" 0 0 11 0 0 0 0 0 0 -2 NA
1 360 "null.jpg" 0 -1 4 3 1.05 1 "n/a" 0 0 0 0 0 0 0 0 0 NA NA
1 366 "F103.jpg" 0 4 9 1 1.53 0 "female" 0 0 11 0 0 0 0 -0.505399487351046 -0.786898960545049 NA 0
1 372 "M104.jpg" 0 4 10 1 1.65 0 "male" 0 0.1 10 0 0 0 0 0.586004972649654 0.406929424405196 NA 1
1 378 "F105.jpg" 0 3 8 2 1.41 0 "female" 0 -0.28125 10.6666666666667 0 0 0 0 -1.32395283235157 -1.63110617561701 NA -3
1 384 "M105.jpg" 0 3 10 1 1.2 0 "male" 0 -0.25 12 0 0 0 0 -0.414449115684321 -0.693098158870386 NA -3
1 390 "M106.jpg" 0 2 7 2 1.05 0 "male" 0 -0.6 10 0 0 0 0 0 0 NA -6
1 396 "null.jpg" 0 -1 3 3 0.86 1 "n/a" 0 0 0 0 0 0 0 0 0 NA NA
1 402 "null.jpg" 0 -1 6 3 0.99 1 "n/a" 0 0 0 0 0 0 0 0 0 NA NA
1 408 "F106.jpg" 0 2 10 2 1.99 0 "female" 0 -0.181818181818182 11 0 0 0 0 0 0 NA -2
1 414 "F107.jpg" 0 1 14 1 1.13 0 "female" 0 0 14 0 0 0 0 0 0 NA NA
1 420 "F104.jpg" 0 4 11 2 1.76 0 "female" 0 0.0930232558139535 10.75 0 0 0 0 0.949712119648204 0.713834260169048 NA 1
1 426 "M107.jpg" 0 1 12 2 1.69 0 "male" 0 0 12 0 0 0 0 0 0 NA NA
2 12 "M119.jpg" 1 1 10 2 1.95 0 "male" 0 0 9 0 0 0 0 0 0 -2 NA
2 18 "M118.jpg" 1 1 13 1 0.86 0 "male" 0 0 13 0 0 0 0 0 0 NA NA
2 24 "M111.jpg" 1 1 12 2 1.53 0 "male" 0 0 10 0 0 0 0 0 0 0 NA
2 30 "F119.jpg" 1 1 15 1 1.13 0 "female" 0 0 13.5 0 0 0 0 0 0 -3 NA
2 36 "M120.jpg" 1 1 10 1 1.07 0 "male" 0 0 8 0 0 0 0 0 0 -2 NA
2 42 "null.jpg" 1 -1 7 3 1.17 1 "n/a" 0 0 0 0 0 0 0 0 0 NA NA
2 48 "F111.jpg" 1 1 11 1 1.94 0 "female" 0 0 8.25 0 0 0 0 0 0 -2 NA
2 54 "F118.jpg" 1 1 11 1 1.49 0 "female" 0 0 11 0 0 0 0 0 0 NA NA
2 60 "null.jpg" 1 -1 3 3 0.68 1 "n/a" 0 0 0 0 0 0 0 0 0 NA NA
2 66 "F120.jpg" 1 1 12 1 1.82 0 "female" 0 0 9.33333333333333 0 0 0 0 0 0 -3 NA
2 72 "M111.jpg" 1 2 12 2 1.61 0 "male" 0 0 10 0 0 0 0 0 0 -5 0
