"Video" "Condition" "Onsettime" "OnsetDelay" "TargetTime" "run" "repnum" "MR_series" "Rating" "RT" "Slow_Load" "Onset" "constant"
"BalJazz" "Encod" 170.657 7 170.65 5 14 8 "Video" "Video" 0 170.657 "cons"
"Diving" "Encod" 175.407 7 175.4 5 14 8 "Video" "Video" 0 175.407 "cons"
"Crying" "Recall" 180.156 6 180.15 5 13 8 "2" "1826" NA 180.156 "cons"
"Meat" "Recall" 189.405 5 189.4 5 14 8 "3" "1145" NA 189.405 "cons"
"Crying" "Encod" 197.903 3 197.9 5 14 8 "Video" "Video" 0 197.903 "cons"
"RCoaster" "Encod" 203.403 3 203.4 5 14 8 "Video" "Video" 0 203.403 "cons"
"Coliseum" "Recall" 208.902 2 208.9 5 14 8 "3" "920" NA 208.902 "cons"
"Obama" "Encod" 217.401 1 217.4 5 14 8 "Video" "Video" 0 217.401 "cons"
"Crying" "Recall" 222.15 0 222.15 5 14 8 "3" "2576" NA 222.15 "cons"
"SkateDog" "Encod" 230.649 -1 230.65 5 14 8 "Video" "Video" 0 230.649 "cons"
"Car" "Recall" 236.148 -2 236.15 5 14 8 "3" "1346" NA 236.148 "cons"
"BalJazz" "Recall" 245.396 -4 245.4 5 14 8 "1" "809" NA 245.396 "cons"
"Diving" "Recall" 253.895 -5 253.9 5 14 8 "2" "350" NA 253.895 "cons"
"Avalanche" "Encod" 262.411 11 262.4 5 14 8 "Video" "Video" 0 262.411 "cons"
"Owl" "Encod" 267.91 10 267.9 5 14 8 "Video" "Video" 0 267.91 "cons"
"SkateDog" "Recall" 272.659 9 272.65 5 14 8 "2" "1347" NA 272.659 "cons"
"RCoaster" "Recall" 281.908 8 281.9 5 14 8 "2" "2042" NA 281.908 "cons"
"Avalanche" "Recall" 291.156 6 291.15 5 14 8 "2" "609" NA 291.156 "cons"
"Obama" "Encod" 300.405 5 300.4 5 15 8 "Video" "Video" 0 300.405 "cons"
"Obama" "Recall" 305.904 4 305.9 5 14 8 "2" "1239" NA 305.904 "cons"
"Owl" "Recall" 315.153 3 315.15 5 14 8 "2" "813" NA 315.153 "cons"
"SkateDog" "Encod" 324.401 1 324.4 5 15 8 "Video" "Video" 0 324.401 "cons"
"Owl" "Encod" 329.9 0 329.9 5 15 8 "Video" "Video" 0 329.9 "cons"
"RCoaster" "Encod" 335.4 0 335.4 5 15 8 "Video" "Video" 0 335.4 "cons"
"Car" "Encod" 340.899 -1 340.9 5 15 8 "Video" "Video" 0 340.899 "cons"
"Owl" "Recall" 346.398 -2 346.4 5 15 8 "3" "680" NA 346.398 "cons"
"SkateDog" "Recall" 354.897 -3 354.9 5 15 8 "2" "1301" NA 354.897 "cons"
"BalJazz" "Encod" 363.395 -5 363.4 5 15 8 "Video" "Video" 0 363.395 "cons"
"Obama" "Recall" 368.895 -5 368.9 5 15 8 "2" "919" NA 368.895 "cons"
"Diving" "Encod" 378.16 10 378.15 5 15 8 "Video" "Video" 0 378.16 "cons"
"RCoaster" "Recall" 382.909 9 382.9 5 15 8 "3" "681" NA 382.909 "cons"
"Meat" "Encod" 391.408 8 391.4 5 15 8 "Video" "Video" 0 391.408 "cons"
"Coliseum" "Encod" 396.907 7 396.9 5 15 8 "Video" "Video" 0 396.907 "cons"
"Avalanche" "Encod" 401.657 7 401.65 5 15 8 "Video" "Video" 0 401.657 "cons"
"BalJazz" "Recall" 407.156 6 407.15 5 15 8 "1" "906" NA 407.156 "cons"
"Diving" "Recall" 415.654 4 415.65 5 15 8 "3" "1167" NA 415.654 "cons"
"Car" "Recall" 424.153 3 424.15 5 15 8 "2" "973" NA 424.153 "cons"
"Crying" "Encod" 432.652 2 432.65 5 15 8 "Video" "Video" 0 432.652 "cons"
"Crying" "Recall" 438.151 1 438.15 5 15 8 "3" "351" NA 438.151 "cons"
"Coliseum" "Recall" 446.65 0 446.65 5 15 8 "3" "980" NA 446.65 "cons"
"Meat" "Recall" 455.898 -2 455.9 5 15 8 "3" "1043" NA 455.898 "cons"
"Avalanche" "Recall" 464.397 -3 464.4 5 15 8 "2" "1530" NA 464.397 "cons"
"Obama" "Encod" 10.895 -5 10.9 6 16 9 "Video" "Video" 0 10.895 "cons"
"RCoaster" "Encod" 16.41 10 16.4 6 16 9 "Video" "Video" 0 16.41 "cons"
"Avalanche" "Encod" 21.91 10 21.9 6 16 9 "Video" "Video" 0 21.91 "cons"
"Crying" "Encod" 26.659 9 26.65 6 16 9 "Video" "Video" 0 26.659 "cons"
"BalJazz" "Encod" 31.408 8 31.4 6 16 9 "Video" "Video" 0 31.408 "cons"
"Car" "Encod" 36.157 7 36.15 6 16 9 "Video" "Video" 0 36.157 "cons"
"Owl" "Encod" 41.657 7 41.65 6 16 9 "Video" "Video" 0 41.657 "cons"
"SkateDog" "Encod" 47.156 6 47.15 6 16 9 "Video" "Video" 0 47.156 "cons"
"Obama" "Recall" 52.655 5 52.65 6 16 9 "3" "880" NA 52.655 "cons"
"Coliseum" "Encod" 61.904 4 61.9 6 16 9 "Video" "Video" 0 61.904 "cons"
"RCoaster" "Recall" 67.403 3 67.4 6 16 9 "2" "1380" NA 67.403 "cons"
"Avalanche" "Recall" 76.651 1 76.65 6 16 9 "3" "1579" NA 76.651 "cons"
"Crying" "Recall" 85.15 0 85.15 6 16 9 "3" "1625" NA 85.15 "cons"
"Diving" "Encod" 94.399 -1 94.4 6 16 9 "Video" "Video" 0 94.399 "cons"
"Meat" "Encod" 99.148 -2 99.15 6 16 9 "Video" "Video" 0 99.148 "cons"
"BalJazz" "Recall" 103.897 -3 103.9 6 16 9 "2" "741" NA 103.897 "cons"
"Owl" "Recall" 112.396 -4 112.4 6 16 9 "3" "1243" NA 112.396 "cons"
"Car" "Encod" 120.895 -5 120.9 6 17 9 "Video" "Video" 0 120.895 "cons"
"Car" "Recall" 126.411 11 126.4 6 16 9 "3" "1564" NA 126.411 "cons"
"BalJazz" "Encod" 134.909 9 134.9 6 17 9 "Video" "Video" 0 134.909 "cons"
"Avalanche" "Encod" 139.659 9 139.65 6 17 9 "Video" "Video" 0 139.659 "cons"
"SkateDog" "Encod" 145.158 8 145.15 6 17 9 "Video" "Video" 0 145.158 "cons"
"SkateDog" "Recall" 150.657 7 150.65 6 16 9 "3" "1014" NA 150.657 "cons"
"Meat" "Recall" 159.906 6 159.9 6 16 9 "3" "789" NA 159.906 "cons"
"Coliseum" "Recall" 168.404 4 168.4 6 16 9 "3" "1674" NA 168.404 "cons"
"Owl" "Encod" 177.653 3 177.65 6 17 9 "Video" "Video" 0 177.653 "cons"
"Diving" "Recall" 182.402 2 182.4 6 16 9 "2" "756" NA 182.402 "cons"
"Obama" "Encod" 190.901 1 190.9 6 17 9 "Video" "Video" 0 190.901 "cons"
"Coliseum" "Encod" 196.4 0 196.4 6 17 9 "Video" "Video" 0 196.4 "cons"
"SkateDog" "Recall" 201.149 -1 201.15 6 17 9 "2" "1209" NA 201.149 "cons"
"Car" "Recall" 209.648 -2 209.65 6 17 9 "3" "535" NA 209.648 "cons"
"BalJazz" "Recall" 218.147 -3 218.15 6 17 9 "2" "2116" NA 218.147 "cons"
"Owl" "Recall" 226.646 -4 226.65 6 17 9 "2" "2225" NA 226.646 "cons"
"Avalanche" "Recall" 235.911 11 235.9 6 17 9 "2" "896" NA 235.911 "cons"
"Diving" "Encod" 244.41 10 244.4 6 17 9 "Video" "Video" 0 244.41 "cons"
"Coliseum" "Recall" 249.159 9 249.15 6 17 9 "2" "1208" NA 249.159 "cons"
"Crying" "Encod" 257.658 8 257.65 6 17 9 "Video" "Video" 0 257.658 "cons"
"RCoaster" "Encod" 262.407 7 262.4 6 17 9 "Video" "Video" 0 262.407 "cons"
"Meat" "Encod" 267.906 6 267.9 6 17 9 "Video" "Video" 0 267.906 "cons"
"Obama" "Recall" 273.405 5 273.4 6 17 9 "2" "1145" NA 273.405 "cons"
"Obama" "Encod" 282.654 4 282.65 6 18 9 "Video" "Video" 0 282.654 "cons"
"Crying" "Recall" 288.153 3 288.15 6 17 9 "3" "1726" NA 288.153 "cons"
"Diving" "Recall" 296.652 2 296.65 6 17 9 "2" "931" NA 296.652 "cons"
"Avalanche" "Encod" 305.901 1 305.9 6 18 9 "Video" "Video" 0 305.901 "cons"
"Owl" "Encod" 310.65 0 310.65 6 18 9 "Video" "Video" 0 310.65 "cons"
"Car" "Encod" 315.399 -1 315.4 6 18 9 "Video" "Video" 0 315.399 "cons"
"Meat" "Recall" 320.898 -2 320.9 6 17 9 "3" "1412" NA 320.898 "cons"
"RCoaster" "Recall" 330.147 -3 330.15 6 17 9 "3" "908" NA 330.147 "cons"
"Avalanche" "Recall" 338.646 -4 338.65 6 18 9 "3" "1145" NA 338.646 "cons"
"RCoaster" "Encod" 347.911 11 347.9 6 18 9 "Video" "Video" 0 347.911 "cons"
"Meat" "Encod" 353.41 10 353.4 6 18 9 "Video" "Video" 0 353.41 "cons"
"Obama" "Recall" 358.159 9 358.15 6 18 9 "3" "895" NA 358.159 "cons"
"Coliseum" "Encod" 366.658 8 366.65 6 18 9 "Video" "Video" 0 366.658 "cons"
"BalJazz" "Encod" 372.157 7 372.15 6 18 9 "Video" "Video" 0 372.157 "cons"
"RCoaster" "Recall" 377.657 7 377.65 6 18 9 "3" "886" NA 377.657 "cons"
"Meat" "Recall" 386.905 5 386.9 6 18 9 "3" "1094" NA 386.905 "cons"
"Owl" "Recall" 396.154 4 396.15 6 18 9 "0" "2750" NA 396.154 "cons"
"Car" "Recall" 404.653 3 404.65 6 18 9 "3" "562" NA 404.653 "cons"
"Crying" "Encod" 413.901 1 413.9 6 18 9 "Video" "Video" 0 413.901 "cons"
"BalJazz" "Recall" 419.4 0 419.4 6 18 9 "3" "574" NA 419.4 "cons"
"SkateDog" "Encod" 427.899 -1 427.9 6 18 9 "Video" "Video" 0 427.899 "cons"
"Crying" "Recall" 432.648 -2 432.65 6 18 9 "0" "2750" NA 432.648 "cons"
"Diving" "Encod" 441.147 -3 441.15 6 18 9 "Video" "Video" 0 441.147 "cons"
"Coliseum" "Recall" 446.646 -4 446.65 6 18 9 "2" "1040" NA 446.646 "cons"
"Diving" "Recall" 455.145 -5 455.15 6 18 9 "2" "1813" NA 455.145 "cons"
"SkateDog" "Recall" 463.66 10 463.65 6 18 9 "0" "3500" NA 463.66 "cons"
"Diving" "Encod" 10.909 9 10.9 7 19 10 "Video" "Video" 0 10.909 "cons"
"Coliseum" "Encod" 16.408 8 16.4 7 19 10 "Video" "Video" 0 16.408 "cons"
"Diving" "Recall" 21.908 8 21.9 7 19 10 "3" "1403" NA 21.908 "cons"
"Meat" "Encod" 31.156 6 31.15 7 19 10 "Video" "Video" 0 31.156 "cons"
"Coliseum" "Recall" 35.905 5 35.9 7 19 10 "2" "1317" NA 35.905 "cons"
"Car" "Encod" 45.154 4 45.15 7 19 10 "Video" "Video" 0 45.154 "cons"
"RCoaster" "Encod" 49.903 3 49.9 7 19 10 "Video" "Video" 0 49.903 "cons"
"Car" "Recall" 54.653 3 54.65 7 19 10 "3" "562" NA 54.653 "cons"
"Obama" "Encod" 63.901 1 63.9 7 19 10 "Video" "Video" 0 63.901 "cons"
"Meat" "Recall" 68.651 1 68.65 7 19 10 "3" "412" NA 68.651 "cons"
"SkateDog" "Encod" 77.149 -1 77.15 7 19 10 "Video" "Video" 0 77.149 "cons"
"Avalanche" "Encod" 82.648 -2 82.65 7 19 10 "Video" "Video" 0 82.648 "cons"
"Crying" "Encod" 88.148 -2 88.15 7 19 10 "Video" "Video" 0 88.148 "cons"
"BalJazz" "Encod" 92.897 -3 92.9 7 19 10 "Video" "Video" 0 92.897 "cons"
"Crying" "Recall" 97.646 -4 97.65 7 19 10 "3" "336" NA 97.646 "cons"
"SkateDog" "Recall" 106.145 -5 106.15 7 19 10 "2" "2069" NA 106.145 "cons"
"RCoaster" "Recall" 114.66 10 114.65 7 19 10 "2" "1010" NA 114.66 "cons"
"Obama" "Recall" 123.159 9 123.15 7 19 10 "3" "888" NA 123.159 "cons"
"Avalanche" "Recall" 132.408 8 132.4 7 19 10 "2" "911" NA 132.408 "cons"
"Owl" "Encod" 141.656 6 141.65 7 19 10 "Video" "Video" 0 141.656 "cons"
"Owl" "Encod" 146.406 6 146.4 7 20 10 "Video" "Video" 0 146.406 "cons"
"Owl" "Recall" 151.155 5 151.15 7 19 10 "3" "788" NA 151.155 "cons"
"RCoaster" "Encod" 159.654 4 159.65 7 20 10 "Video" "Video" 0 159.654 "cons"
"Crying" "Encod" 164.403 3 164.4 7 20 10 "Video" "Video" 0 164.403 "cons"
"Avalanche" "Encod" 169.902 2 169.9 7 20 10 "Video" "Video" 0 169.902 "cons"
"BalJazz" "Recall" 175.401 1 175.4 7 19 10 "3" "1549" NA 175.401 "cons"
"RCoaster" "Recall" 183.9 0 183.9 7 20 10 "2" "947" NA 183.9 "cons"
"Owl" "Recall" 192.399 -1 192.4 7 20 10 "2" "1760" NA 192.399 "cons"
"SkateDog" "Encod" 200.898 -2 200.9 7 20 10 "Video" "Video" 0 200.898 "cons"
"Coliseum" "Encod" 205.647 -3 205.65 7 20 10 "Video" "Video" 0 205.647 "cons"
"Meat" "Encod" 210.396 -4 210.4 7 20 10 "Video" "Video" 0 210.396 "cons"
"BalJazz" "Encod" 215.895 -5 215.9 7 20 10 "Video" "Video" 0 215.895 "cons"
"Coliseum" "Recall" 221.395 -5 221.4 7 20 10 "3" "684" NA 221.395 "cons"
"Crying" "Recall" 230.66 10 230.65 7 20 10 "3" "2131" NA 230.66 "cons"
"Avalanche" "Recall" 239.908 8 239.9 7 20 10 "3" "1018" NA 239.908 "cons"
"Car" "Encod" 249.157 7 249.15 7 20 10 "Video" "Video" 0 249.157 "cons"
"SkateDog" "Recall" 254.656 6 254.65 7 20 10 "3" "2759" NA 254.656 "cons"
"Diving" "Encod" 263.905 5 263.9 7 20 10 "Video" "Video" 0 263.905 "cons"
"Obama" "Encod" 268.654 4 268.65 7 20 10 "Video" "Video" 0 268.654 "cons"
"Car" "Recall" 273.403 3 273.4 7 20 10 "3" "1115" NA 273.403 "cons"
"BalJazz" "Recall" 282.652 2 282.65 7 20 10 "3" "1899" NA 282.652 "cons"
"Diving" "Recall" 291.151 1 291.15 7 20 10 "2" "1176" NA 291.151 "cons"
"Meat" "Recall" 300.399 -1 300.4 7 20 10 "0" "2750" NA 300.399 "cons"
"SkateDog" "Encod" 308.898 -2 308.9 7 21 10 "Video" "Video" 0 308.898 "cons"
"BalJazz" "Encod" 314.397 -3 314.4 7 21 10 "Video" "Video" 0 314.397 "cons"
"Car" "Encod" 319.897 -3 319.9 7 21 10 "Video" "Video" 0 319.897 "cons"
"Coliseum" "Encod" 325.396 -4 325.4 7 21 10 "Video" "Video" 0 325.396 "cons"
"RCoaster" "Encod" 330.145 -5 330.15 7 21 10 "Video" "Video" 0 330.145 "cons"
"BalJazz" "Recall" 334.911 11 334.9 7 21 10 "1" "552" NA 334.911 "cons"
"Obama" "Recall" 344.16 10 344.15 7 20 10 "3" "1007" NA 344.16 "cons"
"SkateDog" "Recall" 352.658 8 352.65 7 21 10 "2" "1652" NA 352.658 "cons"
"Meat" "Encod" 361.157 7 361.15 7 21 10 "Video" "Video" 0 361.157 "cons"
"Avalanche" "Encod" 365.906 6 365.9 7 21 10 "Video" "Video" 0 365.906 "cons"
"Obama" "Encod" 371.406 6 371.4 7 21 10 "Video" "Video" 0 371.406 "cons"
"Car" "Recall" 376.905 5 376.9 7 21 10 "3" "910" NA 376.905 "cons"
"Owl" "Encod" 386.153 3 386.15 7 21 10 "Video" "Video" 0 386.153 "cons"
"Coliseum" "Recall" 391.652 2 391.65 7 21 10 "3" "1042" NA 391.652 "cons"
"Meat" "Recall" 400.151 1 400.15 7 21 10 "3" "2640" NA 400.151 "cons"
"Crying" "Encod" 409.4 0 409.4 7 21 10 "Video" "Video" 0 409.4 "cons"
"Diving" "Encod" 414.149 -1 414.15 7 21 10 "Video" "Video" 0 414.149 "cons"
"RCoaster" "Recall" 418.898 -2 418.9 7 21 10 "3" "1156" NA 418.898 "cons"
"Obama" "Recall" 428.147 -3 428.15 7 21 10 "2" "1484" NA 428.147 "cons"
"Avalanche" "Recall" 437.396 -4 437.4 7 21 10 "2" "1043" NA 437.396 "cons"
"Diving" "Recall" 445.895 -5 445.9 7 21 10 "2" "656" NA 445.895 "cons"
"Crying" "Recall" 455.16 10 455.15 7 21 10 "0" "2750" NA 455.16 "cons"
"Owl" "Recall" 463.658 8 463.65 7 21 10 "3" "372" NA 463.658 "cons"
