"Video" "Condition" "Onsettime" "OnsetDelay" "TargetTime" "run" "repnum" "MR_series" "Rating" "RT" "Slow_Load" "Onset" "constant"
"Obama" "Recall" 463.645 -5 463.65 1 3 4 "2" "2794" NA 463.645 "cons"
"Meat" "Encod" 10.905 5 10.9 2 4 5 "Video" "Video" 0 10.905 "cons"
"Avalanche" "Encod" 16.404 4 16.4 2 4 5 "Video" "Video" 0 16.404 "cons"
"BalJazz" "Encod" 21.903 3 21.9 2 4 5 "Video" "Video" 0 21.903 "cons"
"Coliseum" "Encod" 27.402 2 27.4 2 4 5 "Video" "Video" 0 27.402 "cons"
"Owl" "Encod" 32.902 2 32.9 2 4 5 "Video" "Video" 0 32.902 "cons"
"BalJazz" "Recall" 37.651 1 37.65 2 4 5 "2" "1299" NA 37.651 "cons"
"Meat" "Recall" 46.899 -1 46.9 2 4 5 "3" "1306" NA 46.899 "cons"
"SkateDog" "Encod" 55.398 -2 55.4 2 4 5 "Video" "Video" 0 55.398 "cons"
"RCoaster" "Encod" 60.897 -3 60.9 2 4 5 "Video" "Video" 0 60.897 "cons"
"Avalanche" "Recall" 65.647 -3 65.65 2 4 5 "3" "1047" NA 65.647 "cons"
"Crying" "Encod" 74.895 -5 74.9 2 4 5 "Video" "Video" 0 74.895 "cons"
"SkateDog" "Recall" 80.395 -5 80.4 2 4 5 "3" "1707" NA 80.395 "cons"
"Owl" "Recall" 88.91 10 88.9 2 4 5 "3" "1288" NA 88.91 "cons"
"Car" "Encod" 97.409 9 97.4 2 4 5 "Video" "Video" 0 97.409 "cons"
"Coliseum" "Recall" 102.158 8 102.15 2 4 5 "2" "1520" NA 102.158 "cons"
"RCoaster" "Recall" 110.657 7 110.65 2 4 5 "3" "821" NA 110.657 "cons"
"Diving" "Encod" 119.155 5 119.15 2 4 5 "Video" "Video" 0 119.155 "cons"
"Obama" "Encod" 124.654 4 124.65 2 4 5 "Video" "Video" 0 124.654 "cons"
"Coliseum" "Encod" 130.154 4 130.15 2 5 5 "Video" "Video" 0 130.154 "cons"
"Crying" "Encod" 135.653 3 135.65 2 5 5 "Video" "Video" 0 135.653 "cons"
"Car" "Encod" 140.402 2 140.4 2 5 5 "Video" "Video" 0 140.402 "cons"
"Crying" "Recall" 145.151 1 145.15 2 5 5 "3" "1910" NA 145.151 "cons"
"Crying" "Recall" 153.65 0 153.65 2 4 5 "2" "1443" NA 153.65 "cons"
"Car" "Recall" 162.149 -1 162.15 2 4 5 "2" "2057" NA 162.149 "cons"
"Diving" "Encod" 171.398 -2 171.4 2 5 5 "Video" "Video" 0 171.398 "cons"
"Diving" "Recall" 176.147 -3 176.15 2 4 5 "2" "867" NA 176.147 "cons"
"SkateDog" "Encod" 185.395 -5 185.4 2 5 5 "Video" "Video" 0 185.395 "cons"
"Obama" "Recall" 190.145 -5 190.15 2 4 5 "2" "3316" NA 190.145 "cons"
"Obama" "Encod" 198.66 10 198.65 2 5 5 "Video" "Video" 0 198.66 "cons"
"RCoaster" "Encod" 203.409 9 203.4 2 5 5 "Video" "Video" 0 203.409 "cons"
"Coliseum" "Recall" 208.159 9 208.15 2 5 5 "2" "1007" NA 208.159 "cons"
"Car" "Recall" 217.407 7 217.4 2 5 5 "2" "1150" NA 217.407 "cons"
"Diving" "Recall" 226.656 6 226.65 2 5 5 "2" "1062" NA 226.656 "cons"
"BalJazz" "Encod" 235.905 5 235.9 2 5 5 "Video" "Video" 0 235.905 "cons"
"Owl" "Encod" 240.654 4 240.65 2 5 5 "Video" "Video" 0 240.654 "cons"
"BalJazz" "Recall" 246.153 3 246.15 2 5 5 "2" "1437" NA 246.153 "cons"
"Meat" "Encod" 254.652 2 254.65 2 5 5 "Video" "Video" 0 254.652 "cons"
"Obama" "Recall" 260.151 1 260.15 2 5 5 "2" "1255" NA 260.151 "cons"
"SkateDog" "Recall" 269.4 0 269.4 2 5 5 "2" "2046" NA 269.4 "cons"
"RCoaster" "Recall" 277.898 -2 277.9 2 5 5 "2" "915" NA 277.898 "cons"
"Avalanche" "Encod" 287.147 -3 287.15 2 5 5 "Video" "Video" 0 287.147 "cons"
"Car" "Encod" 292.646 -4 292.65 2 6 5 "Video" "Video" 0 292.646 "cons"
"Owl" "Recall" 298.145 -5 298.15 2 5 5 "3" "1516" NA 298.145 "cons"
"Crying" "Encod" 306.661 11 306.65 2 6 5 "Video" "Video" 0 306.661 "cons"
"Avalanche" "Encod" 311.41 10 311.4 2 6 5 "Video" "Video" 0 311.41 "cons"
"Obama" "Encod" 316.159 9 316.15 2 6 5 "Video" "Video" 0 316.159 "cons"
"Meat" "Recall" 320.909 9 320.9 2 5 5 "3" "1417" NA 320.909 "cons"
"Diving" "Encod" 330.157 7 330.15 2 6 5 "Video" "Video" 0 330.157 "cons"
"Obama" "Recall" 335.656 6 335.65 2 6 5 "3" "533" NA 335.656 "cons"
"Avalanche" "Recall" 344.905 5 344.9 2 5 5 "2" "1293" NA 344.905 "cons"
